,action_r,action_y,action_z,al_pitch,al_roll,al_yaw,pos_x,pos_y,pos_z,time
0,-0.03654643893241882,-0.045561945438385015,1.9861551964282989,2.351950616135845e-05,-0.00011705498557244139,0.0007368098394599041,0.19717796146869684,0.0007368098394599041,1.9734872579574585,0.04214286804199219
1,-0.08298285603523255,-0.08887748420238495,1.992023479938507,1.2960024730814896e-05,-0.0001599688840681567,0.0007174226304960031,0.19773481786251093,0.0007174226304960031,1.9671189785003662,0.0660400390625
2,-0.10793023258447648,-0.1304067075252533,1.9958831426501273,1.2960024730814896e-05,-0.0001599688840681567,0.0007174226304960031,0.19773481786251093,0.0007174226304960031,1.9671189785003662,0.08928894996643066
3,-0.08071641176939012,-0.17883088290691376,1.9970806412398814,-0.0019422068465710708,-0.002841149200527617,0.0006079887072442849,0.19823899865150477,0.0006079887072442849,1.9617923498153687,0.11391305923461914
4,-0.05821612924337388,-0.2213095337152481,1.9965526885166762,-0.022582687050491337,-0.027251540151893454,0.0003349697502907523,0.19877560436725641,0.0003349697502907523,1.9570984840393066,0.13750505447387695
5,-0.028386996686458596,-0.2626845479011536,1.9980249511077999,-0.022582687050491337,-0.027251540151893454,0.0003349697502907523,0.19877560436725641,0.0003349697502907523,1.9570984840393066,0.1608901023864746
6,-0.0070767134428024354,-0.3102415919303894,1.9999383618310091,-0.03855315923228047,-0.03784728022568498,0.00044472693588054054,0.19954735040664698,0.00044472693588054054,1.9533095359802246,0.18556904792785645
7,-0.03404858112335206,-0.3389415353536606,2.004437177963555,-0.0840989634199027,-0.04692846490637906,0.0017855532580268259,0.20080949366092707,0.0017855532580268259,1.9507848024368286,0.20870590209960938
8,-0.018296355009078988,-0.3826336413621903,2.009566480107605,-0.1373724889658198,-0.04216677414358922,0.0037672590923564127,0.20370312035083796,0.0037672590923564127,1.9486827850341797,0.23213791847229004
9,-0.04155157953500749,-0.4109120339155198,2.0151295532658695,-0.1373724889658198,-0.04216677414358922,0.0037672590923564127,0.20370312035083796,0.0037672590923564127,1.9486827850341797,0.256256103515625
10,-0.08080809563398363,-0.45058898031711586,2.0168540351465345,-0.16742857850451281,-0.03838162887802437,0.004746784208893028,0.20819817483425165,0.004746784208893028,1.9479238986968994,0.2793450355529785
11,-0.10890555828809739,-0.48001894652843485,2.019878656156361,-0.22366256201160026,-0.036808049104857854,0.00664578985865102,0.21531911194324518,0.00664578985865102,1.949072003364563,0.30266594886779785
