,action_p,action_r,action_z,al_pitch,al_roll,al_yaw,angular_x,angular_y,angular_z,linear_acc_bodyx,linear_acc_bodyy,linear_acc_bodyz,pidz_out,pidzv_out,pos_x,pos_y,pos_z,time,velocity_x,velocity_y,velocity_z,winlose
0,-0.018273040624627465,-0.0194721911001539,1.4947553816270083,0.00039806829667551164,5.373131981322886e-05,-7.359932740148207e-08,-4.050885102941352e-05,-0.0002866774859295999,2.8441486793217943e-05,-0.0995829775929451,-0.006634744815527183,9.878705024719238,-0.03474493145942686,0.5136203717572795,0.426741808652878,-7.359932740148207e-08,1.5027730464935303,0.03425288200378418,0.3083432912826538,0.02649785950779908,0.007676406297832689,0
1,-0.03754381314147863,-0.038378756558622856,1.4990833143740891,0.00039806829667551164,5.373131981322886e-05,-7.359932740148207e-08,-4.050885102941352e-05,-0.0002866774859295999,2.8441486793217943e-05,-0.0995829775929451,-0.006634744815527183,9.878705024719238,-0.07316852066291529,0.4950218643591331,0.426741808652878,-7.359932740148207e-08,1.5027730464935303,0.04416489601135254,0.3083432912826538,0.02649785950779908,0.007676406297832689,0
2,-0.05324587914587862,-0.05737341768206984,1.492132109986618,0.00039806829667551164,5.373131981322886e-05,-7.359932740148207e-08,-4.050885102941352e-05,-0.0002866774859295999,2.8441486793217943e-05,-0.09922656416893005,-0.006571587175129633,9.887141227722168,-0.038202589348834665,0.5167773576616154,0.426741808652878,-7.359932740148207e-08,1.5027730464935303,0.06455588340759277,0.3083432912826538,0.02649785950779908,0.007676406297832689,0
3,-0.07162612769743165,-0.07611920867883146,1.48245300915651,0.0003899327954928846,5.2635417385860046e-05,6.003180021295336e-07,-2.9160510078219587e-05,-0.0003429653736720501,5.288431425546088e-05,-0.09802165627479553,-0.008324958384035807,9.889254570007324,-0.09260699799347746,0.48684991726583143,0.43685236573219316,6.003180021295336e-07,1.5028293132781982,0.08383393287658691,0.31051748991012573,0.026585625484585693,0.009556635282933674,0
4,-0.08932173922198204,-0.09492284260985726,1.4789107817281035,-0.004721335828574046,-0.005647688648045495,-0.000152980203620692,-3.077997490432197e-05,-0.00030439138254874127,3.9899285345234615e-05,-0.09409589320421219,-0.012265670113264298,9.929886817932129,-0.16235041595177882,0.4624361233355274,0.4488601982593538,-0.000152980203620692,1.5030124187469482,0.10298895835876465,0.3154768943786621,0.02565903589129441,0.011317328549921474,0
5,-0.10599287445678329,-0.11447447907002734,1.4728022145684807,-0.004721335828574046,-0.005647688648045495,-0.000152980203620692,-3.077997490432197e-05,-0.00030439138254874127,3.9899285345234615e-05,-0.08979195356369019,-0.018795363605021233,9.77668571472168,-0.1856637452432529,0.4615023980781436,0.4488601982593538,-0.000152980203620692,1.5030124187469482,0.1225588321685791,0.3154768943786621,0.02565903589129441,0.011317328549921474,0
6,-0.1243216024944514,-0.13423139095536873,1.4814680127110331,-0.018467792917712972,-0.020259016105083173,-0.0004237681086006489,-0.06136303601664259,-0.05518802789811448,-0.0016288315079266236,-0.09242883324623108,-0.01599129289388543,9.277475357055664,-0.22991743453363053,0.44486687175507583,0.46017464995384233,-0.0004237681086006489,1.502920389175415,0.1427478790283203,0.3227902948856354,0.02104076929390423,-0.01719727739691738,0
7,-0.14354172633938572,-0.15410516251516387,1.4821972021814436,-0.018467792917712972,-0.020259016105083173,-0.0004237681086006489,-0.06136303601664259,-0.05518802789811448,-0.0016288315079266236,-0.08778591454029083,-0.020146211609243278,8.719609260559082,-0.1613939668628208,0.4948836648976425,0.46017464995384233,-0.0004237681086006489,1.502920389175415,0.16269278526306152,0.3227902948856354,0.02104076929390423,-0.01719727739691738,0
8,-0.16123122590351252,-0.17000139693758445,1.475480993753299,-0.02911657194141683,-0.03209476966704049,-0.00048053424885555397,-0.20380401161785464,-0.19021479820984982,-0.004072010229635378,-0.09088288992643356,-0.02293136715888875,8.324911117553711,-0.16051119156172491,0.4804385749121588,0.47098365426063554,-0.00048053424885555397,1.5015506744384766,0.18297100067138672,0.3340354561805725,0.012680513784289285,-0.06330003589391713,0
9,-0.17027401389851118,-0.18576831565758112,1.475996220415458,-0.05142366927881201,-0.05654409764897407,-9.437101086791798e-05,-0.26574611967750644,-0.2432050181457382,-0.003131280724191969,-0.08621864020824432,-0.02623656392097367,8.665464401245117,-0.20123518578782684,0.4824507322391106,0.4821834266185762,-9.437101086791798e-05,1.4989598989486694,0.20291495323181152,0.35095617175102234,-0.002109847730025727,-0.09181593358516697,0
10,-0.18450572149733446,-0.20275353185911466,1.4835222998913375,-0.05142366927881201,-0.05654409764897407,-9.437101086791798e-05,-0.26574611967750644,-0.2432050181457382,-0.003131280724191969,-0.08146382868289948,-0.03051848150789627,9.035746574401855,-0.17549655958781102,0.5058910920975401,0.4821834266185762,-9.437101086791798e-05,1.4989598989486694,0.2229938507080078,0.35095617175102234,-0.002109847730025727,-0.09181593358516697,0
11,-0.1997146078898832,-0.1970243783697106,1.4838954968210307,-0.07982572572276762,-0.08797450328202683,0.0010339336589087248,-0.46346674684022227,-0.4233041767098037,0.002923040045119851,-0.08070525527000427,-0.028453348204492426,8.952377319335938,-0.1207583405852705,0.5223272272509935,0.4940768182277681,0.0010339336589087248,1.4954123497009277,0.2444169521331787,0.3740539252758026,-0.02390416152775296,-0.11910057812929158,0
12,-0.20656321209973846,-0.19285403654488784,1.4820324472244826,-0.07982572572276762,-0.08797450328202683,0.0010339336589087248,-0.46346674684022227,-0.4233041767098037,0.002923040045119851,-0.07302702963352203,-0.036276668310164274,9.26329517364502,-0.0952309525212477,0.5379296483254948,0.4940768182277681,0.0010339336589087248,1.4954123497009277,0.2626190185546875,0.3740539252758026,-0.02390416152775296,-0.11910057812929158,0
13,-0.20273879956374136,-0.1870033071722135,1.4708440003152934,-0.09445951448125015,-0.10419641766823494,0.001846220786891571,-0.6709593223246871,-0.6090074920966292,0.015857603817153277,-0.07191967219114304,-0.040659729391335234,9.831870079040527,-0.11129799660884072,0.5227932787578967,0.5068364143371584,0.001846220786891571,1.4911160469055176,0.28337979316711426,0.4057352840900421,-0.05534261837601671,-0.1235088780522347,0
14,-0.2128888304760911,-0.17928982931220824,1.4596745982822028,-0.12251001436978602,-0.13311087141033467,0.003682305752090747,-0.5982070440991933,-0.5418836244141134,0.019310502858865305,-0.06786196678876877,-0.039121158421038305,10.432867050170898,-0.16226027312981162,0.504176543111768,0.5208563208580019,0.003682305752090747,1.4870907068252563,0.3028299808502197,0.4473596215248108,-0.09743057191371927,-0.10312762856483465,0
15,-0.21277781755673483,-0.17141422443422813,1.4507956742700188,-0.12251001436978602,-0.13311087141033467,0.003682305752090747,-0.5982070440991933,-0.5418836244141134,0.019310502858865305,-0.05052635818719864,-0.04682014882564415,10.62265396118164,-0.21266882680457277,0.4790851457820201,0.5208563208580019,0.003682305752090747,1.4870907068252563,0.32255101203918457,0.4473596215248108,-0.09743057191371927,-0.10312762856483465,0
16,-0.22143042359105666,-0.16583391196132313,1.434077009534463,-0.14630614271989212,-0.152311545660293,0.005174974890518796,-0.720356858654555,-0.675763325097325,0.03453748826806516,-0.06125742942094803,-0.04349442571401469,10.385910987854004,-0.2760516762450908,0.46083548591275064,0.5363527536392214,0.005174974890518796,1.4836558103561401,0.3428988456726074,0.49486911296844477,-0.14455316960811626,-0.0942260548472405,0
17,-0.2189185375547036,-0.16026253303257706,1.4167803428228942,-0.14630614271989212,-0.152311545660293,0.005174974890518796,-0.720356858654555,-0.675763325097325,0.03453748826806516,-0.06000041961669922,-0.04638282954692719,9.8937349319458,-0.37173626424551187,0.4227241201369249,0.5363527536392214,0.005174974890518796,1.4836558103561401,0.3630709648132324,0.49486911296844477,-0.14455316960811626,-0.0942260548472405,0
18,-0.21688527501233149,-0.15356870529716216,1.3993206521924584,-0.15678683683363565,-0.15894902251539136,0.005687921357693436,-0.6649496144537718,-0.6938959811386869,0.038815456397492905,-0.05112357437610626,-0.04905173182487375,9.214940071105957,-0.4954881351243907,0.38192117833857736,0.5533747076988222,0.005687921357693436,1.480026125907898,0.3832569122314453,0.5429934859275818,-0.19018445909023296,-0.11908467113971717,0
19,-0.21953512950806425,-0.143217277446111,1.3825334024485199,-0.17638477666938907,-0.16528026282936115,0.0067118371353581405,-0.4819380612209419,-0.5473459996088732,0.029701091684258493,-0.05600716918706894,-0.04654729366302384,8.651487350463867,-0.5913719028722131,0.3675780663520386,0.5764136314392092,0.0067118371353581405,1.4735937118530273,0.4028468132019043,0.5992721915245056,-0.23953793942928328,-0.20477162301540383,0
20,-0.21500371864964052,-0.1328643058347602,1.3664104107078163,-0.17638477666938907,-0.16528026282936115,0.0067118371353581405,-0.4819380612209419,-0.5473459996088732,0.029701091684258493,-0.05920863896608353,-0.049444533884524355,7.717532634735107,-0.6630287705431708,0.383628862667413,0.5764136314392092,0.0067118371353581405,1.4735937118530273,0.4232058525085449,0.5992721915245056,-0.23953793942928328,-0.20477162301540383,0
21,-0.21574227405956267,-0.11992582658864515,1.3498096862491218,-0.19058690018793273,-0.16592488491790602,0.0071445768388171274,-0.35221111469391186,-0.5235694159276267,0.02801709731219553,-0.06284072250127792,-0.05133134126663126,6.680792331695557,-0.7798456237653654,0.32780661808521616,0.5966984629631045,0.0071445768388171274,1.4650880098342896,0.4429738521575928,0.640761375427246,-0.27256053686141984,-0.3180630803108216,0
22,-0.21142361139468624,-0.10698044274047931,1.331282627409324,-0.19058690018793273,-0.16592488491790602,0.0071445768388171274,-0.35221111469391186,-0.5235694159276267,0.02801709731219553,-0.06300826370716095,-0.051079157739876924,6.368429660797119,-0.8336495794305409,0.3710673488039149,0.5966984629631045,0.0071445768388171274,1.4650880098342896,0.46265196800231934,0.640761375427246,-0.27256053686141984,-0.3180630803108216,0
23,-0.20488151951247038,-0.09137746745845843,1.3155336117204277,-0.19599927327059266,-0.16402879152559724,0.007196248826301386,-0.2191402716960747,-0.4862886410958118,0.022055589338901987,-0.0630086362361908,-0.05248343944549486,6.059368133544922,-0.9698930633332963,0.29953099583709364,0.6182649135589602,0.007196248826301386,1.4526267051696777,0.4829998016357422,0.6795358061790465,-0.30180314183235185,-0.4503460824489594,0
24,-0.2104974238082216,-0.07356395942992447,1.3102838184293357,-0.203439319221026,-0.1557356448980781,0.006909821109295536,-0.10778304364547625,-0.3594277110849197,0.013879252137943636,-0.06328923255205154,-0.0517522580921643,5.681922435760498,-0.9866582975300227,0.37087788956597995,0.636838495731354,0.006909821109295536,1.4383924007415771,0.5027577877044678,0.7114951610565183,-0.32386687397956865,-0.5699196457862855,0
25,-0.21313748381014003,-0.055740800217308484,1.3104217967446892,-0.203439319221026,-0.1557356448980781,0.006909821109295536,-0.10778304364547625,-0.3594277110849197,0.013879252137943636,-0.06128261238336563,-0.0535322390496724,5.558356285095215,-0.9189116943134383,0.43714631522697367,0.636838495731354,0.006909821109295536,1.4383924007415771,0.5232648849487305,0.7114951610565183,-0.32386687397956865,-0.5699196457862855,0
26,-0.21594673860385605,-0.03478276530789898,1.3111281864102928,-0.2070500511431603,-0.14187603722072892,0.006231552759377128,0.05310123744816708,-0.3213127984798221,0.004259988221175351,-0.061006106436252594,-0.05321302264928752,5.394511699676514,-0.9236488185567606,0.4062091259888511,0.6618948578834536,0.006231552759377128,1.415377140045166,0.5444660186767578,0.752592861652374,-0.34980952739715593,-0.7242683768272401,0
27,-0.22183701820824386,-0.013764650108648767,1.3112760090287774,-0.2070500511431603,-0.14187603722072892,0.006231552759377128,0.05310123744816708,-0.3213127984798221,0.004259988221175351,-0.046916842460632324,-0.05692537128925244,6.504245758056641,-0.7468479195356752,0.5558918690678505,0.6618948578834536,0.006231552759377128,1.415377140045166,0.5643107891082764,0.752592861652374,-0.34980952739715593,-0.7242683768272401,0
28,-0.23012400800227087,0.00995820347382835,1.3101299256738275,-0.20783893525218344,-0.13213177837221132,0.00584332349449695,0.1902569493341219,-0.23405336667354867,-0.005195679146684928,-0.031476229429244995,-0.06306226551532658,7.139938831329346,-0.7586410863882123,0.5008437540557809,0.6905637383461001,0.00584332349449695,1.385867953300476,0.584324836730957,0.8089233040809629,-0.3816431164741518,-0.8314093351364137,0
29,-0.2396411766885684,0.03410700807589769,1.309227024262771,-0.20985282382548906,-0.10689976523020285,0.005232761756286869,0.2194969980439882,-0.148960455532223,-0.007314460284206554,-0.016202598810195923,-0.0692241042852391,8.775365829467773,-0.5467491025506709,0.6467468735148546,0.7196580767631532,0.005232761756286869,1.3564409017562866,0.6031630039215088,0.8799652457237241,-0.41633352637290977,-0.8367716670036317,0
30,-0.24079075357656043,0.05830485537968823,1.3081646980699153,-0.20985282382548906,-0.10689976523020285,0.005232761756286869,0.2194969980439882,-0.148960455532223,-0.007314460284206554,0.006033033132553101,-0.07555162906646604,10.240281105041504,-0.34747166702197835,0.6919584275209705,0.7196580767631532,0.005232761756286869,1.3564409017562866,0.6227898597717285,0.8799652457237241,-0.41633352637290977,-0.8367716670036317,0
