,action_p,action_r,action_y,action_z,al_pitch,al_roll,al_yaw,angular_x,angular_y,angular_z,linear_acc_bodyx,linear_acc_bodyy,linear_acc_bodyz,pidz_out,pidzv_out,pos_x,pos_y,pos_z,time,velocity_x,velocity_y,velocity_z
0,0.05,0.0,0,1.0,0.04908562241794707,-0.007143804574282362,-0.0129684253870594,-0.3801329433917999,0.07040517777204514,0.03086979873478412,-0.8395585417747498,1.0991990566253675,10.27072525024414,0.0,0.0,-0.020205497741699344,-0.0129684253870594,1.0127935409545898,0.02159905433654785,0.010083535686135292,-0.000604402681346985,6.218283670023207e-05
1,0.05,0.0,0,1.0,0.04908562241794707,-0.007143804574282362,-0.0129684253870594,-0.3801329433917999,0.07040517777204514,0.03086979873478412,-0.3610987961292267,-0.21812295913696148,11.585598945617676,0.5357466898424478,-0.016682777404785156,-0.020205497741699344,-0.0129684253870594,1.0127935409545898,0.044097185134887695,0.010083535686135292,-0.000604402681346985,6.218283670023207e-05
2,0.05,0.0,0,1.0,0.047727905590971925,-0.006970092122683139,-0.012818482856818662,-0.11188828200101852,-0.04794265329837798,0.11539820581674576,-0.18885037302970886,0.9282305836677561,7.838016986846924,0.5414617390963027,-0.012895889282226562,-0.019833538681268817,-0.012818482856818662,1.013035774230957,0.06593799591064453,0.007832028903067112,-0.0010020619956776517,0.002682397374883295
3,0.05,0.0,0,1.0,0.04506864378318042,-0.005119657152543327,-0.012863030974819542,0.2755117118358612,-0.20472344756126404,-0.03735379502177236,0.13352808356285095,0.4681921601295481,8.110932350158691,0.5383353997180763,-0.013262935638427734,-0.019473245367407924,-0.012863030974819542,1.0132206678390503,0.08776307106018066,0.007890422828495502,-0.001531704096123578,-0.0011827168054878703
4,0.05,0.0,0,1.0,0.04506864378318042,-0.005119657152543327,-0.012863030974819542,0.2755117118358612,-0.20472344756126404,-0.03735379502177236,-0.6480576992034912,-1.0184967517852772,8.577165603637695,0.541866586731573,-0.013483510017395018,-0.019473245367407924,-0.012863030974819542,1.0132206678390503,0.10959815979003906,0.007890422828495502,-0.001531704096123578,-0.0011827168054878703
5,0.05,0.0,0,1.0,0.044525239940133646,-0.003262445923095655,-0.012538567611774422,0.14455009996891022,0.12642356753349304,-0.013863517902791516,-0.9091395139694214,-2.1866803169250475,12.351804733276367,0.5413073455114124,-0.01348092460632324,-0.019046818837523585,-0.012538567611774422,1.0133335590362549,0.13144516944885254,0.009383616037666798,0.000650329515337942,-0.005716017447412013
6,0.05,0.0,0,1.0,0.04462768049981469,-0.0025775389486612245,-0.012342008545368068,-0.06164560094475746,0.21888454258441925,0.05539206787943837,-0.009943068027496338,0.356940090656282,12.122955322265625,0.544980626371811,-0.013681017398834226,-0.018671751022338992,-0.012342008545368068,1.0133579969406128,0.15328407287597656,0.007951852865517141,0.0013248533941805345,-0.00782484747469425
7,0.05,0.0,0,1.0,0.04462768049981469,-0.0025775389486612245,-0.012342008545368068,-0.06164560094475746,0.21888454258441925,0.05539206787943837,0.3340160846710205,-0.4216610789299,9.013379096984863,0.5460724278943684,-0.013732351303100583,-0.018671751022338992,-0.012342008545368068,1.0133579969406128,0.1752490997314453,0.007951852865517141,0.0013248533941805345,-0.00782484747469425
8,0.05,0.0,0,1.0,0.04496642127455525,-0.0009211403321355656,-0.01181468202791891,-0.14252521097660065,-0.041488055139780024,0.14402642846107483,0.1071196123957634,2.6690011024475107,7.532733917236328,0.5457174736265953,-0.013778451919555661,-0.018271958455443507,-0.01181468202791891,1.0133390426635742,0.19690418243408203,0.008973276242613794,0.0023138497490435817,-0.014676490798592566
9,0.05,0.0,0,1.0,0.046659859835140816,0.0005867744505145381,-0.011197529150659448,0.0786256268620491,-0.11533375084400178,-0.11979106813669203,-0.7200893759727478,1.317398786544801,8.687766075134277,0.5515249204633709,-0.013807167530059812,-0.01790663599967969,-0.011197529150659448,1.0134278535842896,0.2187972068786621,0.009778606705367567,0.003047778969630597,-0.008789897896349428
